4400000;96320;32.0;22.2;0.435;4.42;30.60;3.8;855;0;15.2;128;-999;-999;-999;4;59.4;36.80;3;3;-0.41;-1.4;-1.0;-0.970;-0.69;42.40;32.00;28.20;77.50;50.90;20.00;12.3
6000000;1759540;-999;-999;0.706;5.65;-999;55.4;8679;-6.4;-999;-999;-999;-999;-999;19.2;0;92.90;7;6;-2.33;-1.8;-2.2;-1.780;-1.59;22.10;23.10;5.20;90.50;-999;-999;16.0
38000;160;-999;-999;0.916;-999;-999;6.1;160526;1.2;-999;-999;-999;-999;15;2.4;-999;-999;2;1;1.5;1.8;1.5;1.670;2.06;-999;-999;-999;-999;-999;80.00;12.0
2900000;62680;37.9;21.0;0.858;6.27;67.4;86.1;29972;1.6;6.5;1875;4.5;742;17;9.2;63.9;34.70;1;1;0.78;1.0;1.2;0.990;2.06;66.70;50.90;73.80;86.40;75.30;70.00;21.3
600000;2586;30.4;13.2;0.904;7.06;83.20;59.9;104003;4.5;6.0;6382;4.0;4762;14;5.9;48.5;41.40;1;1;1.34;1.7;1.7;1.740;1.99;77.90;79.00;82.70;65.10;76.40;80.00;28.3
2100000;25433;33.7;23.4;-999;5.23;52.50;30.3;14597;3.7;6.1;857;-999;-999;13;26.7;70.3;31.50;4;3;-0.25;0.1;0.5;-0.240;-0.31;57.00;47.40;64.80;91.60;71.30;60.00;34.2
26000000;581540;41.0;-999;0.519;4.08;31.10;37.5;1505;3;5.2;77;-999;-999;11;2.1;92.9;15.40;3;4;-0.33;-1.1;-0.7;-0.860;-1.05;21.40;17.80;33.20;90.30;56.80;50.00;19.2
19000000;94080;46.1;22.1;0.477;3.42;32.50;21.1;1135;3;9.3;108;4.8;17;11;6.7;70.7;31.30;3;3;-0.27;-0.7;-0.8;-0.370;-0.65;47.10;28.90;33.10;76.90;52.00;50.00;16.7
32000000;328657;46.2;30.3;0.802;-999;59.80;863.3;27267;5;4.0;1064;5.2;583;13;3.3;81.3;24.90;4;4;0.16;0.8;0.7;0.410;0.03;65.20;54.80;83.80;85.60;74.50;50.00;10.4
400000;298;38.4;-999;0.717;-999;-999;5.5;15553;1.9;11.5;1514;3.5;314;-999;3.2;45.5;42.60;5;5;0.26;-0.5;-0.4;-0.620;-0.79;38.80;36.60;45.00;94.30;51.10;30.00;5.9
19000000;1220190;40.1;-999;0.427;4.74;29.70;38.1;2266;6.1;5.8;118;3.6;31;8;8.1;85.3;22.20;5;4;-1.91;-0.9;-0.6;-0.780;-0.63;32.40;31.40;31.90;68.10;57.60;40.00;8.8
400000;316;28.1;29.0;0.878;6.68;68.80;17.3;39834;6.3;9.6;3471;7.2;1874;15;5.3;51;40.40;1;1;1.27;1.0;1.3;1.140;0.74;62.80;49.90;68.10;64.70;68.50;60.00;11.9
53000;181;-999;-999;0.708;-999;-999;-999;-999;-999;22.1;863;-999;-999;-999;-999;-999;-999;1;1;0.2;-1.6;-1.0;0.140;0.00;-999;-999;-999;-999;-999;-999;9.1
3800000;1030700;37.0;18.0;0.520;4.68;28.90;16.4;4328;1.9;4.6;177;-999;-999;9;11.7;72.8;30.10;6;5;-0.62;-0.7;-0.8;-0.600;-0.75;17.60;28.90;23.90;75.90;54.00;40.00;25.2
1300000;2030;35.9;27.4;0.790;6.17;60.20;25.9;20422;3.4;5.5;1099;4.9;499;15;7.8;80.7;25.40;1;2;0.99;0.9;1.0;0.680;0.20;69.60;52.10;68.70;91.00;75.10;70.00;11.6
129000000;1943945;48.2;40.7;0.774;6.41;49.1;2315.7;18938;2.5;5.9;1009;5.3;564;13;4;78.1;27.00;3;3;-0.65;0.0;0.2;-0.570;-0.93;39.00;26.90;58.60;75.70;64.80;60.00;42.6
100000;702;61.1;-999;0.627;-999;-999;0.3;3234;-0.2;13.1;458;-999;-999;-999;-999;7.4;55.60;1;1;1.2;0.1;-1.0;0.010;0.75;25.40;38.80;5.20;93.20;52.30;30.00;0.0
3600000;32891;26.8;-999;0.700;5.33;48.7;18.9;5328;-1.1;10.2;515;7.5;168;12;5;56.7;38.00;3;3;-0.24;-0.5;0.0;-0.410;-0.80;26.30;26.60;53.50;85.30;58.40;50.00;22.8
39000;2;-999;-999;-999;-999;-999;-999;-999;-999;2.0;3407;1.0;-999;-999;-999;-999;-999;3;1;1.65;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;20.8
3000000;1553556;34.0;14.3;0.741;5.33;50.6;37.0;12275;2.3;3.9;470;4.7;197;15;6.7;57.1;37.80;1;2;0.82;-0.3;-0.1;-0.300;-0.45;30.90;34.80;51.00;88.40;55.70;60.00;17.1
600000;13452;31.9;25.1;0.814;5.61;-999;10.4;16643;4.1;6.0;957;-999;-999;15;17.5;35.7;46.30;3;3;0.01;0.2;0.3;0.010;-0.09;51.30;38.10;54.20;85.20;64.30;50.00;23.5
